acct_id,dsply_nm,type,acct_stat,acct_rptng_crncy,prior_sar_count,branch_id,open_dt,close_dt,initial_deposit,tx_behavior_id,bank_id,first_name,last_name,street_addr,city,state,country,zip,gender,birth_date,ssn,lon,lat
0,C_0,I,A,USD,false,1,0,1000000,94575.66,,bank,Steven,Collins,48764 Howard Forge Apt. 421,Vanessaside,VT,US,79393,Male,1994-11-10,871-88-5410,73.479690,60.2738415
1,C_1,I,A,USD,false,1,0,1000000,92608.24,,bank,Ronald,Cook,9387 Grimes Green Apt. 801,Pagetown,RI,US,65195,Male,1994-11-29,721-09-3131,124.680009,-30.4868135
2,C_2,I,A,USD,false,1,0,1000000,90836.81,,bank,Robert,Fernandez,711 Golden Overpass,West Andreaville,OH,US,44115,Male,2022-01-01,618-71-9628,-25.565183,29.450832
3,C_3,I,A,USD,false,1,0,1000000,83421.61,,bank,Stephanie,Leblanc,9342 Lori Bypass Suite 711,East Sandra,MP,US,11019,Female,1972-11-27,401-91-8595,-32.020057,50.066962
4,C_4,I,A,USD,false,1,0,1000000,78978.19,,bank,Lorraine,Bruce,969 Hayes Shore,Christopherville,NM,US,77450,Female,1938-05-23,750-35-1920,-61.641150,9.8741475
5,C_5,I,A,USD,false,1,0,1000000,69740.63,,bank,Alex,Woodward,0123 Lisa Roads Apt. 013,South Christopherville,AZ,US,79865,Male,1931-08-28,127-62-3451,-147.205300,-83.884349
6,C_6,I,A,USD,false,1,0,1000000,50214.25,,bank,Curtis,Howard,1314 Graham Circle,Williamsville,UT,US,51786,Male,1995-01-24,859-73-2776,-70.792574,-74.4170695
7,C_7,I,A,USD,false,1,0,1000000,61461.04,,bank,Sylvia,Banks,58419 Wade Bridge,Maldonadoshire,VI,US,67164,Female,1955-04-13,674-33-2514,120.969950,-86.6616515
8,C_8,I,A,USD,false,1,0,1000000,61090.05,,bank,Sarah,Anderson,0842 Kathleen Orchard,Chelseastad,OR,US,83567,Female,1946-03-11,767-54-1323,-179.181691,69.6055285
9,C_9,I,A,USD,false,1,0,1000000,91075.36,,bank,Susan,Munoz,33769 Johnson Well Suite 027,West Jacquelinemouth,NC,US,64367,Female,1910-03-16,040-64-5341,-12.465005,35.330430
10,C_10,I,A,USD,false,1,0,1000000,61949.00,,bank,Diana,Good,81206 Stewart Forest Apt. 089,East Davidborough,VI,US,40139,Female,1921-10-26,875-51-1333,-168.271786,-16.257066
11,C_11,I,A,USD,false,1,0,1000000,50112.52,,bank,Charles,Nelson,559 Meghan Squares Suite 765,East Nicholas,LA,US,01667,Male,1949-05-08,377-92-1536,1.599791,76.574431
12,C_12,I,A,USD,false,1,0,1000000,52388.19,,bank,Ashley,Hoffman,29456 Kelly Neck Apt. 042,West Richardmouth,ME,US,54859,Female,1966-01-05,346-44-2037,77.207619,-58.859323
13,C_13,I,A,USD,false,1,0,1000000,53805.29,,bank,Kristie,Roberts,45229 Drake Route Apt. 113,North Paul,CT,US,52118,Female,2016-12-07,808-75-3560,47.116838,-67.5418185
14,C_14,I,A,USD,false,1,0,1000000,90164.19,,bank,Zachary,Salinas,263 Wilson View Apt. 873,South Raymondborough,SD,US,06019,Male,1982-07-07,108-26-7511,22.954365,7.077560
15,C_15,I,A,USD,false,1,0,1000000,76762.88,,bank,Shelly,Daniels,97296 Rich Park,Marthafort,SC,US,88328,Female,2018-03-25,010-44-5215,-7.221577,-80.4790615
16,C_16,I,A,USD,false,1,0,1000000,94974.69,,bank,Olivia,West,269 Robbins Valley Suite 118,North Jeffreyton,ME,US,02504,Female,2010-03-06,820-20-7549,19.351908,45.559823
17,C_17,I,A,USD,false,1,0,1000000,96995.85,,bank,Roger,Olson,189 Julie Throughway,West Amanda,PA,US,55268,Male,2001-12-16,398-78-9608,-54.602474,-84.501964
18,C_18,I,A,USD,false,1,0,1000000,50817.17,,bank,Janet,Reyes,248 Cook Park,Sherriport,WI,US,53987,Female,1929-03-13,131-31-4704,-0.671881,-75.094574
19,C_19,I,A,USD,false,1,0,1000000,93427.30,,bank,Luis,Soto,6097 Ellis Courts,Osbornetown,AZ,US,78921,Male,1922-05-31,563-84-5680,-75.324336,12.9219315
20,C_20,I,A,USD,false,1,0,1000000,86637.50,,bank,Jill,Sherman,09795 Tara Station Suite 264,New Michelleborough,AZ,US,51884,Female,1963-01-12,809-81-1235,-156.033598,-79.2677695
21,C_21,I,A,USD,false,1,0,1000000,88338.96,,bank,Steven,Henderson,993 Clayton Viaduct,Hunterville,FL,US,56333,Male,1919-12-12,108-54-1031,-126.736506,21.444052
22,C_22,I,A,USD,false,1,0,1000000,89399.69,,bank,Haley,Thompson,6607 Sharp Common,Chadstad,UT,US,04351,Female,2006-07-05,237-47-1156,140.291297,-51.5355765
23,C_23,I,A,USD,false,1,0,1000000,88445.04,,bank,Karen,Zimmerman,104 Norris Rapids,Port Donald,NH,US,15232,Female,1940-02-25,029-27-5935,-0.141177,37.069399
24,C_24,I,A,USD,false,1,0,1000000,83165.71,,bank,Catherine,Watson,89426 Sonya Unions,West William,IA,US,99441,Female,1987-02-16,882-17-9851,-168.967506,15.7101975
25,C_25,I,A,USD,false,1,0,1000000,74831.78,,bank,Anthony,Ortiz,64862 Evans Knoll,East Seanstad,SC,US,69865,Male,1958-08-06,746-42-7231,-70.483556,9.749696
26,C_26,I,A,USD,false,1,0,1000000,79008.81,,bank,Charles,Ford,21418 Laura Mission Suite 266,East Susan,MA,US,69097,Male,1984-02-15,495-97-3337,-21.768934,-89.505231
27,C_27,I,A,USD,false,1,0,1000000,76704.50,,bank,Kathleen,Woodward,703 Wilson Roads Suite 892,Mccarthyfort,CO,US,89391,Female,1973-04-09,416-36-0355,-115.129021,-17.5013805
28,C_28,I,A,USD,false,1,0,1000000,77617.96,,bank,Amanda,Sparks,46896 Garcia Glen,Justinborough,PA,US,11676,Female,1945-08-25,349-16-8687,-46.293888,-46.096104
29,C_29,I,A,USD,false,1,0,1000000,88983.74,,bank,Melissa,James,8298 Amanda Loop Suite 447,Ashleyberg,GA,US,16661,Female,1978-10-05,143-72-4899,10.083365,79.6811315
30,C_30,I,A,USD,false,1,0,1000000,92761.69,,bank,William,Mcdaniel,77857 Scott Divide Suite 093,West Thomastown,PR,US,69553,Male,1919-08-21,760-86-6474,-176.551436,6.979910
31,C_31,I,A,USD,false,1,0,1000000,96281.46,,bank,Jennifer,Prince,4329 Lee Mews,Moranfurt,GA,US,43845,Female,1960-09-08,459-91-2417,101.407260,-5.155150
32,C_32,I,A,USD,false,1,0,1000000,69451.33,,bank,Anthony,Price,5667 Blair Underpass,South Shelby,OR,US,93561,Male,1937-05-06,087-24-5958,-149.403469,81.2815855
33,C_33,I,A,USD,false,1,0,1000000,86286.06,,bank,Tina,Spears,491 Wise Knoll,Ellishaven,TN,US,85502,Female,2018-07-20,595-59-8032,-43.230948,37.6819875
34,C_34,I,A,USD,false,1,0,1000000,58861.84,,bank,Gina,Garcia,00250 Pena Dam Apt. 639,Grantbury,NH,US,25778,Female,2012-08-09,814-41-5291,107.709743,32.3379515
35,C_35,I,A,USD,false,1,0,1000000,82805.13,,bank,Alexandra,Simpson,4486 Olson Well,North Kevin,OH,US,09982,Female,1961-01-11,829-53-8087,67.235323,28.140754
36,C_36,I,A,USD,false,1,0,1000000,50710.57,,bank,Daniel,Pittman,12637 Lisa Points,Williamsburgh,IA,US,64728,Male,1942-07-24,361-41-7125,-122.401603,59.5330615
37,C_37,I,A,USD,false,1,0,1000000,71475.02,,bank,Bryan,Brewer,19126 Jeffery Street,Lake Amandachester,PR,US,07024,Male,1923-11-30,755-73-5881,-56.754465,56.736886
38,C_38,I,A,USD,false,1,0,1000000,66438.74,,bank,Breanna,Smith,318 Leonard Fort,Courtneyport,OR,US,22964,Female,1968-10-04,376-75-0415,-110.301885,16.1879275
39,C_39,I,A,USD,false,1,0,1000000,62279.82,,bank,Olivia,Gomez,123 Hudson Square,East Jessica,GU,US,31131,Female,1978-10-04,645-64-1770,150.721485,-83.0167975
40,C_40,I,A,USD,false,1,0,1000000,73993.23,,bank,Samantha,Floyd,7403 Donna Park Suite 851,Derrickfurt,VT,US,25544,Female,1954-10-02,061-27-0628,-10.801206,-22.996103
41,C_41,I,A,USD,false,1,0,1000000,54973.00,,bank,Adam,Dougherty,345 Kevin Knolls Apt. 250,Burtontown,IA,US,06394,Male,1948-02-03,841-08-5652,176.469204,23.4550235
42,C_42,I,A,USD,false,1,0,1000000,96554.10,,bank,Joseph,Ballard,6254 Debra Stream,Reyeschester,MH,US,35070,Male,2023-12-14,722-60-0688,123.186285,-57.091031
43,C_43,I,A,USD,false,1,0,1000000,86550.83,,bank,Ashley,Fuller,08298 Christopher Freeway Apt. 302,Lake Christian,VI,US,78866,Female,1992-07-27,630-78-0657,-44.454654,1.335247
44,C_44,I,A,USD,false,1,0,1000000,58451.13,,bank,Kerri,Roberts,07154 Stephen Parkways Suite 265,Lindafurt,AL,US,41233,Female,1964-08-04,036-99-8713,126.284477,58.2019905
45,C_45,I,A,USD,false,1,0,1000000,64615.83,,bank,Zachary,Gill,6165 Williams Groves,West Erinshire,UT,US,38482,Male,1998-08-29,529-44-6326,-45.442017,-33.905114
46,C_46,I,A,USD,false,1,0,1000000,62854.62,,bank,Frank,Patton,98522 Mathis Viaduct Apt. 909,West Michael,SC,US,38960,Male,1979-11-18,175-01-2307,125.266283,-78.295844
47,C_47,I,A,USD,false,1,0,1000000,58093.07,,bank,Robert,Jacobs,74931 Ramirez Village Apt. 821,New Daniel,NY,US,83355,Male,1997-10-01,273-40-4669,-172.679702,25.0792575
48,C_48,I,A,USD,false,1,0,1000000,71322.47,,bank,Janet,Marshall,8885 Lee Tunnel Suite 208,Port Donna,WY,US,74331,Female,1914-06-01,422-82-3741,-171.575400,7.233342
49,C_49,I,A,USD,false,1,0,1000000,86458.09,,bank,Blake,West,357 Jessica Gateway,West Jacob,WV,US,55548,Male,1996-07-04,461-66-1646,-78.918258,-45.846127
50,C_50,I,A,USD,false,1,0,1000000,68071.48,,bank,Dale,Sanders,6446 Lynch Course,Anthonytown,WV,US,33342,Male,1960-09-23,651-81-6378,-159.374903,66.414446
51,C_51,I,A,USD,false,1,0,1000000,88254.64,,bank,Isaac,Jones,450 Wells Pike,North Christopher,VI,US,46039,Male,1993-05-27,688-70-7719,-156.850040,-5.5683955
52,C_52,I,A,USD,true,1,0,1000000,64438.93,,bank,Robin,Miller,22708 Madison Spurs,Herringstad,AS,US,77293,Female,1930-06-07,272-26-4276,-3.939541,-21.8490785
53,C_53,I,A,USD,false,1,0,1000000,99894.25,,bank,Felicia,Rios,78209 Darlene Bypass Suite 137,Port Stephen,GA,US,93500,Female,1965-06-21,570-08-8904,-135.752957,48.9611645
54,C_54,I,A,USD,false,1,0,1000000,84577.87,,bank,Timothy,White,69597 Bass Passage,Vanessaville,DC,US,42036,Male,1924-09-16,346-78-3168,-156.302783,21.0883325
55,C_55,I,A,USD,false,1,0,1000000,81951.13,,bank,Amanda,Lang,0925 Ricky Mill Suite 994,Annamouth,MT,US,24181,Female,1932-04-18,397-09-5860,-128.296526,-56.8842915
56,C_56,I,A,USD,false,1,0,1000000,53811.29,,bank,Kelli,Copeland,69057 Alvarez Walks,New Michelleview,AK,US,85435,Female,1919-06-28,368-13-7724,-162.246916,-48.5879665
57,C_57,I,A,USD,false,1,0,1000000,57778.43,,bank,Erin,Burch,395 Timothy Road,Williamsbury,SC,US,37407,Female,1951-01-15,168-54-7585,15.037922,61.768246
58,C_58,I,A,USD,false,1,0,1000000,56072.04,,bank,Brittany,Hernandez,90622 Anthony Islands,North Brandonville,OK,US,80648,Female,2001-06-22,807-04-6861,54.217435,62.4831025
59,C_59,I,A,USD,false,1,0,1000000,96855.14,,bank,Alex,Carr,66376 Sabrina Garden Suite 691,Whitneyhaven,MN,US,71586,Male,1965-03-31,243-36-0661,148.010174,-3.679148
60,C_60,I,A,USD,false,1,0,1000000,97679.28,,bank,John,Moore,180 Jennifer Burg Suite 661,Munozburgh,GA,US,45130,Male,2016-09-25,886-37-8251,-119.593624,8.860074
61,C_61,I,A,USD,false,1,0,1000000,53299.11,,bank,Monica,Reed,8034 Jennifer Islands Suite 604,Johnsonchester,KY,US,49674,Female,1925-07-12,628-46-2716,-163.235767,25.582253
62,C_62,I,A,USD,true,1,0,1000000,88516.97,,bank,Melinda,Lang,16882 Eric Expressway Apt. 082,Kellyport,VT,US,44432,Female,2016-03-27,859-53-4289,-95.002763,1.932063
63,C_63,I,A,USD,false,1,0,1000000,87922.39,,bank,Michael,Moore,268 Young Lane Suite 678,Tamichester,GU,US,13308,Male,1910-10-08,610-82-8473,-122.654707,83.7732945
64,C_64,I,A,USD,false,1,0,1000000,63502.56,,bank,Michael,Estrada,9261 Alex Lake,Floresmouth,MN,US,77080,Male,2004-05-26,235-21-9202,116.154583,-69.079963
65,C_65,I,A,USD,false,1,0,1000000,58948.52,,bank,Christopher,Alexander,28693 Erickson Lodge,Andrewberg,PW,US,51385,Male,1916-06-03,385-12-9638,37.533795,-0.2008135
66,C_66,I,A,USD,false,1,0,1000000,88245.01,,bank,Victor,Mendoza,79148 Pierce Lock Suite 423,Erikberg,NH,US,09524,Male,1975-11-13,420-72-1512,-37.446505,39.464255
67,C_67,I,A,USD,false,1,0,1000000,66876.49,,bank,Melissa,Guzman,2512 Mackenzie Dam,North Antonio,MO,US,73675,Female,1993-01-13,110-61-9168,6.444823,2.0855595
68,C_68,I,A,USD,true,1,0,1000000,75023.15,,bank,Courtney,Richardson,37443 Tyler Pass,Christopherport,OK,US,55851,Female,1954-05-31,777-19-3796,-25.433396,-36.497695
69,C_69,I,A,USD,false,1,0,1000000,91759.57,,bank,Jeffrey,Howard,546 Mariah Crest Suite 587,Lake Jenna,SC,US,47523,Male,1956-09-12,785-92-4639,-123.473597,38.7758685
70,C_70,I,A,USD,false,1,0,1000000,76729.59,,bank,Samantha,Reynolds,8799 Emma Parkway Suite 735,North Thomasfurt,MH,US,30303,Female,1915-11-03,790-06-6661,-129.814276,-19.2772805
71,C_71,I,A,USD,true,1,0,1000000,75538.98,,bank,Joseph,Howell,12503 Alan Place Apt. 219,North Joyce,ID,US,00696,Male,1958-05-12,550-23-3839,-58.157297,21.514800
72,C_72,I,A,USD,false,1,0,1000000,74062.09,,bank,Linda,Davis,3609 Johnson Key,Margaretmouth,SD,US,18114,Female,2019-11-03,732-14-4471,-167.044369,-51.909753
73,C_73,I,A,USD,false,1,0,1000000,80718.30,,bank,John,Gibson,3953 Romero Crest,Lake Rhondaville,NY,US,59180,Male,1949-08-13,427-33-6181,-137.828846,61.661454
74,C_74,I,A,USD,false,1,0,1000000,89274.85,,bank,David,Woods,3576 Sergio Avenue,Benjaminmouth,IN,US,56794,Male,1926-07-21,452-37-5898,170.734311,40.509401
75,C_75,I,A,USD,false,1,0,1000000,67812.95,,bank,James,Lopez,134 Sophia Drives,Benjaminburgh,WI,US,61921,Male,1967-09-30,172-51-0773,1.979785,49.8312565
76,C_76,I,A,USD,true,1,0,1000000,54601.51,,bank,Sarah,Peters,88996 Cynthia River Suite 939,Johnsonfort,MH,US,79664,Female,1932-12-23,045-08-2199,-49.621046,28.975768
77,C_77,I,A,USD,false,1,0,1000000,58819.93,,bank,Ryan,Robbins,186 Mcclure Junction,Jenningsburgh,MN,US,73556,Male,1955-07-14,680-41-7678,-143.856122,-50.651445
78,C_78,I,A,USD,false,1,0,1000000,90330.09,,bank,Joshua,Schultz,67835 Andrew Fords,Port Robertshire,VI,US,54423,Male,2021-08-21,685-18-8698,165.191225,41.455235
79,C_79,I,A,USD,false,1,0,1000000,77265.22,,bank,Jacob,Owens,97036 Collins Summit,Port Lindseytown,OR,US,67694,Male,1922-12-24,458-36-3597,25.469825,13.0956685
80,C_80,I,A,USD,false,1,0,1000000,62513.80,,bank,Lawrence,Walls,94102 Sims Port Suite 187,Florestown,DE,US,57418,Male,1925-09-10,146-04-1949,50.731337,-23.460180
81,C_81,I,A,USD,false,1,0,1000000,50911.38,,bank,Sabrina,Walsh,6154 Jensen Route Apt. 880,Zacharytown,GA,US,65441,Female,1940-02-10,141-45-1628,149.346539,60.6568055
82,C_82,I,A,USD,false,1,0,1000000,95693.99,,bank,Claire,Thompson,9181 Todd Pike,West Colin,MP,US,93220,Female,1987-02-23,236-52-3300,146.836804,27.8389595
83,C_83,I,A,USD,false,1,0,1000000,90218.77,,bank,Rachael,Morris,583 Steven Island Apt. 480,Lake Loriport,VI,US,93087,Female,1920-01-04,015-38-1879,-90.620345,-16.0982425
84,C_84,I,A,USD,false,1,0,1000000,89665.49,,bank,Danielle,Beasley,2436 Johnson Village Apt. 415,Tiffanyport,AR,US,93360,Female,1970-02-15,266-77-0919,28.635592,22.365985
85,C_85,I,A,USD,false,1,0,1000000,54321.21,,bank,Cynthia,Parker,5877 Rodney Extension,East Jasminfort,MS,US,04512,Female,2005-11-01,132-57-0249,14.440567,51.0585465
86,C_86,I,A,USD,false,1,0,1000000,53171.65,,bank,Christina,Hernandez,4466 Terry Centers,Lake Olivia,NC,US,47333,Female,2002-11-15,808-19-3053,116.179863,-22.7838955
87,C_87,I,A,USD,false,1,0,1000000,57290.65,,bank,Rachel,Boone,62382 Julie Pine,Laurentown,VA,US,60909,Female,1917-06-07,172-49-8283,28.254082,-32.960278
88,C_88,I,A,USD,false,1,0,1000000,58016.99,,bank,Stephanie,Moore,21801 Suzanne Gardens Suite 746,Dorothyview,VA,US,10545,Female,1938-05-07,215-06-0880,94.488964,-72.005489
89,C_89,I,A,USD,true,1,0,1000000,90760.90,,bank,Michael,Anderson,2984 Carmen Keys,Michaelport,NY,US,84604,Male,1965-10-24,752-26-9971,33.087673,1.1008665
90,C_90,I,A,USD,true,1,0,1000000,76740.46,,bank,Charles,Harper,74559 Foster Locks Suite 933,Robinsonhaven,GA,US,67302,Male,1997-12-17,545-65-7797,3.456930,-20.4821415
91,C_91,I,A,USD,false,1,0,1000000,73934.52,,bank,Teresa,Lopez,803 Ellis Cliff Apt. 391,Tiffanytown,GU,US,28888,Female,1930-05-02,678-47-9985,-36.293468,-87.5812155
92,C_92,I,A,USD,false,1,0,1000000,96235.69,,bank,Michael,Tate,92436 Rodgers Walks,Christopherchester,WY,US,15618,Male,1911-11-08,545-35-5781,-68.000766,13.0663305
93,C_93,I,A,USD,false,1,0,1000000,81578.51,,bank,Andre,Holland,72998 Willis Wall,North Brian,MH,US,79731,Male,2018-03-05,515-11-6871,-13.403876,-0.9484285
94,C_94,I,A,USD,false,1,0,1000000,51489.46,,bank,Derrick,Brewer,052 Werner Shoals,Toddfort,PA,US,43831,Male,1963-05-27,773-21-1765,95.108803,-20.4902305
95,C_95,I,A,USD,false,1,0,1000000,92675.31,,bank,Deborah,Glover,762 Miranda Spur Apt. 912,Phillipsville,TX,US,56307,Female,1983-11-22,522-69-1225,-175.663712,-79.0215505
96,C_96,I,A,USD,false,1,0,1000000,89633.27,,bank,Amber,Casey,66705 Christopher Lock,North Jason,PW,US,04119,Female,1925-07-26,749-91-4870,38.342939,18.641486
97,C_97,I,A,USD,false,1,0,1000000,71620.08,,bank,Derek,Lewis,782 Dawn Radial,Port Christopher,NJ,US,38224,Male,1989-08-13,886-82-0845,101.035447,-71.1655905
98,C_98,I,A,USD,false,1,0,1000000,90363.75,,bank,John,Nichols,28215 Joy Islands Apt. 591,West Jamiemouth,MA,US,89930,Male,1919-12-26,324-57-6287,36.522403,55.548157
99,C_99,I,A,USD,false,1,0,1000000,88793.11,,bank,Mary,Warren,132 Poole Pass Suite 212,North Patrick,OK,US,15689,Female,1975-10-09,361-86-7815,35.889428,68.7728315
100,C_100,I,A,USD,false,1,0,1000000,70122.97,,bank,Jessica,Montgomery,538 Jessica Tunnel Suite 580,New Chase,DE,US,48734,Female,1973-07-03,532-65-1830,-158.385962,62.9827075
101,C_101,I,A,USD,false,1,0,1000000,58376.15,,bank,Roy,Dominguez,54776 Lisa Trail Apt. 752,Port Joannehaven,TN,US,22113,Male,1989-08-26,595-62-3491,-165.346050,31.9336895
102,C_102,I,A,USD,false,1,0,1000000,81053.75,,bank,Briana,Wolf,3564 Jason Garden Suite 739,Claireberg,MD,US,32426,Female,1974-01-16,550-91-9773,-118.399297,29.961665
103,C_103,I,A,USD,false,1,0,1000000,74171.16,,bank,Sarah,Stewart,593 Amber Fords,Peterhaven,ID,US,46893,Female,1912-08-08,197-26-9895,-92.192275,59.577272
104,C_104,I,A,USD,false,1,0,1000000,79317.72,,bank,Kristin,Parker,476 Allison Summit Suite 010,Tonyaview,RI,US,94899,Female,2014-06-29,874-62-6144,-61.682888,-65.929708
105,C_105,I,A,USD,false,1,0,1000000,84867.73,,bank,Samantha,Blair,098 Sosa Viaduct,New Jimmyton,WY,US,13015,Female,1920-10-22,603-51-2104,129.113106,74.045342
106,C_106,I,A,USD,false,1,0,1000000,98806.86,,bank,Nicholas,Nelson,4229 Derrick Wells,West Tyler,ME,US,19541,Male,1919-04-19,864-85-6668,-82.291058,-36.614922
107,C_107,I,A,USD,false,1,0,1000000,87232.56,,bank,Samantha,Yang,8724 Rachel Squares,Latoyabury,AL,US,19300,Female,1988-07-20,429-17-2384,80.364516,54.5661785
108,C_108,I,A,USD,false,1,0,1000000,91725.56,,bank,Kristen,Jones,27573 Leonard Field Apt. 574,Amandaport,IL,US,37953,Female,1953-10-06,605-84-1560,97.512852,-52.8272275
109,C_109,I,A,USD,false,1,0,1000000,96689.81,,bank,Raymond,Marquez,64832 Joseph Islands Suite 805,Fitzgeraldfurt,OH,US,16998,Male,1976-03-24,672-05-5004,151.088391,29.097534
110,C_110,I,A,USD,false,1,0,1000000,89038.28,,bank,Benjamin,Poole,73611 Martinez Spring Suite 203,East Cody,MS,US,53780,Male,1934-11-11,204-28-8058,-131.221382,-38.604016
111,C_111,I,A,USD,true,1,0,1000000,77872.89,,bank,Charles,Chavez,479 Michael Trafficway Apt. 037,New Evelyn,GU,US,01420,Male,1920-10-19,283-84-4752,30.551570,-1.672805
112,C_112,I,A,USD,false,1,0,1000000,72892.66,,bank,Joseph,Schultz,191 Wood Road Apt. 326,Port Andrew,LA,US,19372,Male,1995-12-12,150-15-8322,-7.413173,-4.048540
113,C_113,I,A,USD,false,1,0,1000000,66110.70,,bank,Dwayne,Stanley,3348 Curtis Street,Fosterberg,NV,US,10607,Male,1971-04-19,851-78-8017,7.863564,-48.2996555
114,C_114,I,A,USD,false,1,0,1000000,68443.54,,bank,Ashlee,Sanchez,3122 Moon Plain Suite 204,Berrystad,SD,US,13414,Female,1915-02-26,882-91-9656,-133.685782,34.997729
115,C_115,I,A,USD,false,1,0,1000000,94998.53,,bank,Sharon,Mata,862 Colleen Springs Apt. 730,East Jasmine,TX,US,19409,Female,2008-08-04,831-76-2906,-143.539004,-61.651620
116,C_116,I,A,USD,false,1,0,1000000,51818.97,,bank,Victoria,Delgado,794 Braun Station Apt. 270,Marvinchester,MS,US,03407,Female,1934-10-28,092-76-2360,-46.932696,50.3621135
117,C_117,I,A,USD,false,1,0,1000000,59404.03,,bank,Dennis,Hampton,46988 Jennifer Stravenue Suite 341,Banksview,IA,US,85341,Male,1920-01-09,149-58-0431,27.402724,82.6905475
118,C_118,I,A,USD,false,1,0,1000000,78546.96,,bank,Jennifer,Franklin,967 Ethan Avenue Suite 164,South Nicole,KS,US,68053,Female,1941-04-20,895-23-0255,-68.465816,0.9696535
119,C_119,I,A,USD,false,1,0,1000000,50856.07,,bank,David,Juarez,064 Howell Fields,Robertberg,SD,US,16744,Male,2016-01-02,453-23-5801,49.613044,27.1346615
120,C_120,I,A,USD,false,1,0,1000000,83229.01,,bank,Michael,Phillips,87210 Pena Freeway,Walshville,MT,US,08009,Male,1929-12-19,286-68-2039,119.521613,89.525953
